artist_name,genre,approx_year
Bijelo Dugme,rok,1983
Divlje Jagode,rok,1980
Parni Valjak,rok,1982
Prljavo Kazalište,rok,1981
YU Grupa,rok,1980
Smak,rok,1979
Leb i Sol,rok,1980
Galija,rok,1985
Riblja Čorba,rok,1981
Idoli,novi_talas,1981
Šarlo Akrobata,novi_talas,1981
Film,novi_talas,1981
Električni Orgazam,novi_talas,1981
Haustor,novi_talas,1981
Pekinška Patka,novi_talas,1980
Denis i Denis,novi_talas,1982
Zdravko Čolić,pop,1980
Oliver Dragojević,pop,1980
Arsen Dedić,pop,1978
Josipa Lisac,pop,1976
Đorđe Balašević,pop,1982
Novi Fosili,pop,1983
Miki Jevremović,pop,1979
Lepa Brena,narodna_narodnjacka,1985
Šaban Šaulić,narodna_narodnjacka,1980
Silvana Armenulić,narodna_narodnjacka,1975
Toma Zdravković,narodna_narodnjacka,1978
Miroslav Ilić,narodna_narodnjacka,1985
Vesna Zmijanac,narodna_narodnjacka,1984
Zorica Brunclik,narodna_narodnjacka,1983
Mile Kitić,narodna_narodnjacka,1986
Predrag Živković Tozovac,narodna_narodnjacka,1975
Hanka Paldum,narodna_narodnjacka,1980
Halid Bešlić,narodna_narodnjacka,1988
Svetlana Ceca Ražnatović,turbo_folk,1996
Dragana Mirković,turbo_folk,1998
Jelena Karleuša,turbo_folk,1999
Indira Radić,turbo_folk,1997
Šeki Turković,turbo_folk,1996
Saša Matić,turbo_folk,2002
Sandra Afrika,turbo_folk,2003
Viki Miljković,turbo_folk,1999
Seka Aleksić,turbo_folk,2004
Dino Merlin,pop,1997
Van Gogh,pop,1999
Ivana Banfić,pop,1998
Colonia,pop,2001
Đavoli,pop,1995
Partibrejkers,rok,1994
Eyesburn,rok,1998
Darkwood Dub,rok,1996
Kanda Kodža i Nebojša,rok,1995
Rasta,hip_hop_rep,2015
Gru,hip_hop_rep,2016
Marčelo,hip_hop_rep,2014
Škabo,hip_hop_rep,2017
TV Moro,hip_hop_rep,2016
Coby,trep,2020
Voyage,trep,2019
Jala Brat,trep,2018
Buba Corelli,trep,2018
Relja,trep,2019
Senidah,trep,2019
Severina,pop,2012
Jelena Rozga,pop,2013
Nina Badrić,pop,2010
Ana Nikolić,pop,2011
Aleksandra Prijović,narodna_narodnjacka,2019
Milica Pavlović,turbo_folk,2018
Dara Bubamara,turbo_folk,2017
Saša Kovačević,pop,2016
Kaliopi,rok,1985
Bajaga i Instruktori,rok,1985
Piloti,rok,1980
Aerodrom,pop,1980
Laibach,novi_talas,1983
Đorđe Marjanović,pop,1965
Tereza Kesovija,pop,1970
Silvija,pop,1985
Mišo Kovač,pop,1980
Zdenka Kovačiček,rok,1979
Zabranjeno Pušenje,rok,1985
Bombaj Štampa,rok,1990
Crvena Jabuka,pop,1988
Plavi Orkestar,pop,1987
Regina,pop,1986
Balašević i Rani Mraz,pop,1979
Halid Muslimović,narodna_narodnjacka,1990
Šemsa Suljaković,narodna_narodnjacka,1985
Dragan Kojić Keba,turbo_folk,1995
Aca Lukas,turbo_folk,1997
Mitar Mirić,narodna_narodnjacka,1993
Snežana Đurišić,narodna_narodnjacka,1987
Boban Rajović,turbo_folk,2005
Ivana Selakov,turbo_folk,2010
Ana Bekuta,narodna_narodnjacka,1988
Šaban Bajramović,ostalo,1970
Esma Redžepova,ostalo,1975
Karolina Gočeva,pop,2005
Nedeljko Bajić Baja,narodna_narodnjacka,1995
Dado Polumenta,pop,2010
Amel Ćurić,pop,2015
Elitni Odredi,hip_hop_rep,2013
Rare Akademija,hip_hop_rep,2016
Nucci,trep,2020
Jala i Buba,trep,2018
