song_id,artist,title,period,genre,gold_theme,llm_theme,gold_emotion,llm_emotion,gold_values,llm_values
645b9d728715,Elitni odredi,Kao kokain,savremeno,hip_hop_rep,hedonizam/provod,ljubav,pozitivno,mešano,"zavisnost, destruktivna strast","opsesija, intenzivna privlačnost, ekskluzivnost"
3c7b1f520062,Gru,Adrenalin džanki,savremeno,hip_hop_rep,hedonizam/provod,identitet/domovina,pozitivno,pozitivno,"potraga za uzbuđenjem, življenje na ivici","buntovništvo, samopouzdanje, transcendencija, spiritualna zaštita"
a620df8818a0,Rasta,Kasno je,savremeno,hip_hop_rep,raskid/tuga,ljubav,negativno,negativno,"kajanje, prihvatanje neizbežnog, propuštena prilika","patnja od neobjašnjenog raskida, beznadežna čežnja, patnja bez leka"
adeacc5f482b,Gru,Samo seks Srbina spasava,savremeno,hip_hop_rep,hedonizam/provod,ljubav,pozitivno,mešano,"humor, sloboda, uživanje u životu","eskapizam, zavisnost od partnera, izlazak iz frustracije kroz vezu"
ae9af4b83e0e,Severina,Šta to ona ima što ja nemam,savremeno,pop,raskid/tuga,ljubav,negativno,negativno,"ljubomora, povređena sujeta, neverstvo","nesamopouzdanje, nejednakovrednost u odnosu, neprihvaćenost"
3ac27ea17085,Severina,"Noću, danju",savremeno,pop,ljubav,raskid/tuga,pozitivno,negativno,"predanost, bezuslovna ljubav, zaljubljenost","žrtva manipulacije, bolna neizvesnost, izgubljena ženstvenost"
81cd49630803,Jelena Rozga,Obožavam,savremeno,pop,ljubav,hedonizam/provod,pozitivno,pozitivno,"strast, očaranost, zaljubljenost","uživanje u životu, opuštenost, jednostavnost, bratstvo"
27f80c774d4e,Jelena Rozga,Prsti zapleteni (duet Klapa Rišpet),savremeno,pop,ljubav,raskid/tuga,pozitivno,negativno,"nežnost, pripadanje, odanost","nesporazum, pokajanje, nevoljno rastajanje"
8b8dc7883f1e,Jelena Rozga,Sve se meni čini,savremeno,pop,raskid/tuga,ljubav,mešano,negativno,"sumnja, intuitivno spoznavanje istine, neverstvo","bezuslovna ljubav, bol od vrijeme, nada uprkos patnji"
9bead5ccd55f,Jelena Rozga,"Ne pijem, ne pušim",savremeno,pop,raskid/tuga,ljubav,pozitivno,negativno,"inat, samopoštovanje, prevazilaženje bola","ranjivost, nezavisnost od partner, bolna iskrenost"
