dominant_topic,hip_hop_rep,narodna_narodnjacka,novi_talas,ostalo,pop,rok,trep,turbo_folk
0,0.059,0.404,0.254,0.5,0.509,0.448,0.125,0.348
1,0.015,0.079,0.056,0.0,0.044,0.072,0.125,0.062
2,0.029,0.012,0.014,0.25,0.019,0.045,0.125,0.023
3,0.132,0.089,0.113,0.25,0.068,0.045,0.125,0.119
4,0.0,0.021,0.014,0.0,0.017,0.018,0.125,0.018
5,0.0,0.051,0.063,0.0,0.057,0.07,0.0,0.033
6,0.103,0.036,0.042,0.0,0.075,0.064,0.125,0.044
7,0.441,0.051,0.246,0.0,0.082,0.123,0.125,0.104
8,0.074,0.234,0.042,0.0,0.096,0.078,0.0,0.199
9,0.147,0.022,0.155,0.0,0.032,0.037,0.125,0.049
