tema,top_reci
0,"ljubav, doći, noć, vreme, ruka, san, piti, ljubiti, stajati, pesma"
1,"voliti, kazati, tako, zašto, mnogo, život, srce, duša, želeti, doći"
2,"vino, dolar, noć, milion, videti, gde, malo, oko, tamo, igrati"
3,"ljubav, dan, voliti, što, nemati, reći, oprostiti, bol, više, srce"
4,"ići, gde, vreme, ljubav, krv, kriv, drugi, tuga, veco, duša"
5,"gde, majka, dan, voditi, ljubav, put, star, uvek, život, reći"
6,"riba, tako, mali, ići, žena, drugi, malo, videti, srce, opet"
7,"život, dobro, brat, tu, što, nemati, kraj, dan, videti, čekati"
8,"srce, nemati, daleko, oko, suza, vratiti, ljubav, više, sreća, noć"
9,"buditi, tu, mali, što, kazati, misliti, nikad, noć, grad, voliti"
