song_id,artist,title,period,genre,dominant_topic,topic_probability
8a8761684117,Bijelo dugme,A i ti me iznevjeri,sfrj,rok,1,0.673
317efec1508f,Bijelo dugme,A koliko si ih imala do sad,sfrj,rok,1,0.32
16d017f74639,Bijelo dugme,Aiaio radi radio,sfrj,rok,8,0.401
ea8eb32c239c,Bijelo dugme,"Ako možeš, zaboravi",sfrj,rok,5,0.357
8ab4d43481e7,Bijelo dugme,Ala je glupo zaboravit’ njen broj,sfrj,rok,7,0.588
6bd5fd93895c,Bijelo dugme,"Bekrija si, cijelo selo viče, e pa jesam šta se koga tiče",sfrj,rok,8,0.421
5f15709ac335,Bijelo dugme,"Bila mama Kukunka, bio tata Taranta",sfrj,rok,2,0.533
088f80624f2f,Bijelo dugme,Bitanga i princeza,sfrj,rok,2,0.31
e0df5af2939e,Bijelo dugme,Blues za moju bivšu dragu,sfrj,rok,0,0.579
2dbff97763bc,Bijelo dugme,Bosanac,sfrj,rok,1,0.399
677a100b6685,Bijelo dugme,Ćiribiribela,sfrj,rok,0,0.515
af6b897f08b7,Bijelo dugme,Čudesno jutro u krevetu gospođe Petrović,sfrj,rok,0,0.458
d48ee0086b78,Bijelo dugme,Da mi je znati koji joj je vrag,sfrj,rok,6,0.329
9159c3fbe10c,Bijelo dugme,Da sam pekar,sfrj,rok,0,0.541
9e4c77fc06e1,Bijelo dugme,Da te bogdo ne volim,sfrj,rok,1,0.323
501125fdcb28,Bijelo dugme,Dede bona sjeti se de tako ti svega,sfrj,rok,0,0.718
4bcbc1d55f67,Bijelo dugme,Došao sam da ti kažem da odlazim,sfrj,rok,0,0.284
5a70aac9e253,Bijelo dugme,Doživjeti stotu,sfrj,rok,1,0.401
b847e4d3b492,Bijelo dugme,Drugovi i drugarice,sfrj,rok,5,0.391
46ba38a80d6b,Bijelo dugme,"Đurđevdan, a ja nisam s onom koju volim",sfrj,rok,8,0.539
3f33cf7e4040,Bijelo dugme,Eto! Baš hoću!,sfrj,rok,3,0.325
74cd7cec479f,Bijelo dugme,"Evo noći, evo ludila",sfrj,rok,0,0.309
3672fd297465,Bijelo dugme,"Evo, zakleću se",sfrj,rok,5,0.522
7207cf7e17ba,Bijelo dugme,Glavni junak jedne knjige,sfrj,rok,1,0.33
6af9a1e3ccf2,Bijelo dugme,Goodbye America,sfrj,rok,1,0.322
b4070d6ee2bf,Bijelo dugme,"Ha, ha, ha",sfrj,rok,2,0.893
5a63e05e18e2,Bijelo dugme,Hej Slaveni,sfrj,rok,0,0.89
1f146048a240,Bijelo dugme,Hoću da budeš najsvjetlija (prijevod “Kosovske”),sfrj,rok,5,0.258
037ad4c3f9e8,Bijelo dugme,Hop cup,sfrj,rok,6,0.721
