song_id,artist,title,period,genre,llm_theme,llm_emotion,llm_values,error
645b9d728715,Elitni odredi,Kao kokain,savremeno,hip_hop_rep,ljubav,mešano,"opsesija, intenzivna privlačnost, ekskluzivnost",
3c7b1f520062,Gru,Adrenalin džanki,savremeno,hip_hop_rep,identitet/domovina,pozitivno,"buntovništvo, samopouzdanje, transcendencija, spiritualna zaštita",
ae58cbe73156,Rasta,Bili smo klinci (ft. Vice),savremeno,hip_hop_rep,raskid/tuga,negativno,"neuzajamljena ljubav, nostalgija, žal za izgubljenom nevinom ljubavlju",
a620df8818a0,Rasta,Kasno je,savremeno,hip_hop_rep,ljubav,negativno,"patnja od neobjašnjenog raskida, beznadežna čežnja, patnja bez leka",
adeacc5f482b,Gru,Samo seks Srbina spasava,savremeno,hip_hop_rep,ljubav,mešano,"eskapizam, zavisnost od partnera, izlazak iz frustracije kroz vezu",
ae9af4b83e0e,Severina,Šta to ona ima što ja nemam,savremeno,pop,ljubav,negativno,"nesamopouzdanje, nejednakovrednost u odnosu, neprihvaćenost",
3ac27ea17085,Severina,"Noću, danju",savremeno,pop,raskid/tuga,negativno,"žrtva manipulacije, bolna neizvesnost, izgubljena ženstvenost",
024121ae0deb,Dado Polumenta,Činim sve,savremeno,pop,ljubav,mešano,"nemoć pred ljubavlju, iskren osjećaj, sudbina",
3026e290e191,Severina,Gardelin,savremeno,pop,ljubav,mešano,"nežnost, odanost, utešta, nostalgia",
7e5c282ad831,Severina,"Sve što imam, to si ti",savremeno,pop,ljubav,pozitivno,"apsolutna posvećenost, ponos u vezi, idealizacija partnera",
98f71f1f689b,Karolina Gočeva,Mojot svet,savremeno,pop,identitet/domovina,mešano,"spiritualnost, muzika kao spasenje, balkanski identitet, prevazilaženje bola",
81cd49630803,Jelena Rozga,Obožavam,savremeno,pop,hedonizam/provod,pozitivno,"uživanje u životu, opuštenost, jednostavnost, bratstvo",
87715771d08f,Jelena Rozga,Nevjeran do groba,savremeno,pop,raskid/tuga,negativno,"samopoštovanje, oslobađanje od toksične ljubavi, odbacivanje manipulacije",
27f80c774d4e,Jelena Rozga,Prsti zapleteni (duet Klapa Rišpet),savremeno,pop,raskid/tuga,negativno,"nesporazum, pokajanje, nevoljno rastajanje",
8b8dc7883f1e,Jelena Rozga,Sve se meni čini,savremeno,pop,ljubav,negativno,"bezuslovna ljubav, bol od vrijeme, nada uprkos patnji",
9bead5ccd55f,Jelena Rozga,"Ne pijem, ne pušim",savremeno,pop,ljubav,negativno,"ranjivost, nezavisnost od partner, bolna iskrenost",
94ddad7f9d6c,Severina,Na punti Marjana,savremeno,pop,ljubav,pozitivno,"romantika, odanost, strast, morska poezija",
