song_id,period,genre,entity_text,entity_type
317efec1508f,sfrj,rok,"Stani, ",PER
16d017f74639,sfrj,rok,ije,ORG
16d017f74639,sfrj,rok,šta,ORG
16d017f74639,sfrj,rok,Zaspao je c,PER
16d017f74639,sfrj,rok,Zaspao j,ORG
16d017f74639,sfrj,rok,cijeli,LOC
16d017f74639,sfrj,rok,vijet ,LOC
16d017f74639,sfrj,rok,šta ne,LOC
16d017f74639,sfrj,rok,Zaspao je,PER
5f15709ac335,sfrj,rok,Kukunka,PER
5f15709ac335,sfrj,rok,Kukunka,PER
5f15709ac335,sfrj,rok, Kukunk,PER
5f15709ac335,sfrj,rok, Kukunk,PER
5f15709ac335,sfrj,rok,"a, Ku",PER
5f15709ac335,sfrj,rok,Kuk,LOC
5f15709ac335,sfrj,rok,tat,LOC
5f15709ac335,sfrj,rok,", K",LOC
5f15709ac335,sfrj,rok,o t,LOC
5f15709ac335,sfrj,rok,"ka, K",PER
5f15709ac335,sfrj,rok,"ukunka,",PER
5f15709ac335,sfrj,rok,"ukunka
",PER
5f15709ac335,sfrj,rok,"ukunka,",PER
5f15709ac335,sfrj,rok,"ukunka
",PER
5f15709ac335,sfrj,rok, Kuku,LOC
5f15709ac335,sfrj,rok,", K",LOC
5f15709ac335,sfrj,rok,o t,LOC
5f15709ac335,sfrj,rok,Kukunka,PER
5f15709ac335,sfrj,rok,Kukunka,PER
5f15709ac335,sfrj,rok,Kukunka,PER
5f15709ac335,sfrj,rok,Kukunka,PER
5f15709ac335,sfrj,rok,", K",LOC
5f15709ac335,sfrj,rok,o t,LOC
5f15709ac335,sfrj,rok,"a, Ku",PER
088f80624f2f,sfrj,rok,Lu,ORG
088f80624f2f,sfrj,rok,Luda,PER
2dbff97763bc,sfrj,rok,Lijepo,PER
2dbff97763bc,sfrj,rok,"i, opeg",PER
2dbff97763bc,sfrj,rok,Lijepo ,PER
2dbff97763bc,sfrj,rok,Lijep,PER
2dbff97763bc,sfrj,rok,"i, opeg",PER
677a100b6685,sfrj,rok,Ako si ljubo,PER
677a100b6685,sfrj,rok,Ako,PER
