grupa,rang,rec,tfidf_skor
hip_hop_rep,1,dan,0.2012
hip_hop_rep,2,voliti,0.1979
hip_hop_rep,3,što,0.1874
hip_hop_rep,4,videti,0.1799
hip_hop_rep,5,ljubav,0.1677
hip_hop_rep,6,reći,0.1612
hip_hop_rep,7,život,0.1593
hip_hop_rep,8,daleko,0.1537
hip_hop_rep,9,nemati,0.1499
hip_hop_rep,10,dobro,0.1476
hip_hop_rep,11,kazati,0.1476
hip_hop_rep,12,drugi,0.1392
hip_hop_rep,13,nov,0.1322
hip_hop_rep,14,više,0.1301
hip_hop_rep,15,mali,0.1259
hip_hop_rep,16,tu,0.1224
hip_hop_rep,17,opet,0.1181
hip_hop_rep,18,kokain,0.1161
hip_hop_rep,19,ortak,0.1126
hip_hop_rep,20,doći,0.109
narodna_narodnjacka,1,srce,0.3076
narodna_narodnjacka,2,ljubav,0.2962
narodna_narodnjacka,3,život,0.2058
narodna_narodnjacka,4,nemati,0.1986
narodna_narodnjacka,5,drugi,0.1917
narodna_narodnjacka,6,voliti,0.1761
narodna_narodnjacka,7,tuga,0.1665
narodna_narodnjacka,8,sreća,0.161
narodna_narodnjacka,9,dan,0.1502
narodna_narodnjacka,10,noć,0.1451
narodna_narodnjacka,11,duša,0.1378
narodna_narodnjacka,12,što,0.1312
narodna_narodnjacka,13,ljubiti,0.1276
narodna_narodnjacka,14,oko,0.1217
narodna_narodnjacka,15,suza,0.1216
narodna_narodnjacka,16,više,0.1172
narodna_narodnjacka,17,gde,0.1083
narodna_narodnjacka,18,žena,0.1072
narodna_narodnjacka,19,doći,0.1072
narodna_narodnjacka,20,sam,0.1011
novi_talas,1,nemati,0.2434
novi_talas,2,videti,0.2365
novi_talas,3,dan,0.1993
novi_talas,4,želeti,0.1714
novi_talas,5,grad,0.1645
novi_talas,6,gledati,0.1573
novi_talas,7,devojka,0.1543
novi_talas,8,gde,0.1543
novi_talas,9,više,0.1497
novi_talas,10,vreme,0.1497
novi_talas,11,reći,0.1405
novi_talas,12,kazati,0.138
novi_talas,13,tu,0.1288
novi_talas,14,voliti,0.1196
novi_talas,15,san,0.1135
novi_talas,16,hajde,0.1113
novi_talas,17,ruka,0.1097
novi_talas,18,mali,0.1075
novi_talas,19,kraj,0.1075
novi_talas,20,sam,0.1075
ostalo,1,voleti,0.3177
ostalo,2,praštati,0.3009
ostalo,3,mama,0.2647
ostalo,4,čekati,0.2647
ostalo,5,ljubav,0.2369
ostalo,6,svadba,0.1504
ostalo,7,srećan,0.1421
ostalo,8,pesma,0.1421
ostalo,9,uvek,0.1421
ostalo,10,san,0.1421
ostalo,11,obećati,0.1332
ostalo,12,roditi,0.1185
ostalo,13,proleće,0.1185
ostalo,14,lopov,0.1185
ostalo,15,grliti,0.1185
ostalo,16,anđeo,0.1185
ostalo,17,kleti,0.1185
ostalo,18,što,0.1059
ostalo,19,ukrasti,0.1059
ostalo,20,moliti,0.1059
pop,1,ljubav,0.2759
pop,2,srce,0.2276
pop,3,noć,0.1986
pop,4,san,0.183
pop,5,dan,0.1806
pop,6,nemati,0.1739
pop,7,život,0.1538
pop,8,voliti,0.134
pop,9,oko,0.1309
pop,10,gde,0.128
pop,11,kraj,0.1277
pop,12,put,0.1265
pop,13,tu,0.121
pop,14,malo,0.1117
pop,15,reći,0.1106
pop,16,drugi,0.1102
pop,17,star,0.1091
pop,18,ljubiti,0.1078
pop,19,mnogo,0.1028
pop,20,ruka,0.1007
rok,1,dan,0.231
rok,2,noć,0.1951
rok,3,nemati,0.164
rok,4,vreme,0.1635
rok,5,kazati,0.1366
rok,6,ljubav,0.1281
rok,7,srce,0.1272
rok,8,malo,0.1272
rok,9,star,0.1203
rok,10,reći,0.1197
rok,11,mali,0.1192
rok,12,voliti,0.1163
rok,13,kraj,0.1139
rok,14,san,0.1138
rok,15,drugi,0.113
rok,16,put,0.1118
rok,17,uvek,0.1096
rok,18,gde,0.1046
rok,19,mnogo,0.1028
rok,20,tako,0.0953
trep,1,gaditi,0.5478
trep,2,ah,0.264
trep,3,ići,0.2013
trep,4,umeti,0.1919
trep,5,grešiti,0.1826
trep,6,delija,0.1736
trep,7,daleko,0.1714
trep,8,deli,0.1562
trep,9,jako,0.15
trep,10,dam,0.144
trep,11,behute,0.144
trep,12,trošiti,0.1393
trep,13,dabogda,0.1207
trep,14,crći,0.1207
trep,15,noć,0.1178
trep,16,voliti,0.1054
trep,17,lagi,0.096
trep,18,no,0.096
trep,19,nikad,0.0958
trep,20,uraditi,0.0857
turbo_folk,1,ljubav,0.2927
turbo_folk,2,srce,0.2778
turbo_folk,3,nemati,0.2116
turbo_folk,4,noć,0.1873
turbo_folk,5,život,0.1777
turbo_folk,6,drugi,0.1729
turbo_folk,7,voliti,0.166
turbo_folk,8,tuga,0.1591
turbo_folk,9,dan,0.1398
turbo_folk,10,više,0.1376
turbo_folk,11,videti,0.1311
turbo_folk,12,gde,0.1302
turbo_folk,13,što,0.1289
turbo_folk,14,sreća,0.1243
turbo_folk,15,kraj,0.1176
turbo_folk,16,ići,0.1161
turbo_folk,17,suza,0.1133
turbo_folk,18,reći,0.1129
turbo_folk,19,doći,0.1063
turbo_folk,20,sam,0.1049
