grupa,rang,rec,tfidf_skor
savremeno,1,ljubav,0.2766
savremeno,2,srce,0.2124
savremeno,3,voliti,0.1893
savremeno,4,nemati,0.186
savremeno,5,dan,0.1789
savremeno,6,noć,0.1729
savremeno,7,drugi,0.1696
savremeno,8,videti,0.1679
savremeno,9,život,0.1515
savremeno,10,dobro,0.1394
savremeno,11,tu,0.1388
savremeno,12,kazati,0.1334
savremeno,13,ljubiti,0.1279
savremeno,14,ići,0.1273
savremeno,15,reći,0.1268
savremeno,16,gde,0.1262
savremeno,17,oko,0.1229
savremeno,18,što,0.1147
savremeno,19,mnogo,0.1147
savremeno,20,dobar,0.1098
sfrj,1,ljubav,0.2856
sfrj,2,dan,0.2363
sfrj,3,srce,0.2355
sfrj,4,noć,0.1985
sfrj,5,san,0.1847
sfrj,6,nemati,0.1762
sfrj,7,voliti,0.1604
sfrj,8,život,0.1563
sfrj,9,drugi,0.1496
sfrj,10,oko,0.1326
sfrj,11,duša,0.1185
sfrj,12,gde,0.1172
sfrj,13,ljubiti,0.1111
sfrj,14,reći,0.1111
sfrj,15,mnogo,0.1109
sfrj,16,kraj,0.1096
sfrj,17,star,0.1092
sfrj,18,tu,0.1057
sfrj,19,uvek,0.1036
sfrj,20,doći,0.1031
tranzicija,1,ljubav,0.3241
tranzicija,2,srce,0.2586
tranzicija,3,nemati,0.2326
tranzicija,4,voliti,0.1927
tranzicija,5,život,0.1795
tranzicija,6,drugi,0.1773
tranzicija,7,noć,0.1735
tranzicija,8,dan,0.1588
tranzicija,9,gde,0.1404
tranzicija,10,oko,0.1272
tranzicija,11,što,0.1216
tranzicija,12,reći,0.1186
tranzicija,13,više,0.1182
tranzicija,14,doći,0.1137
tranzicija,15,suza,0.1103
tranzicija,16,ići,0.1092
tranzicija,17,videti,0.1076
tranzicija,18,kraj,0.1073
tranzicija,19,nikad,0.1054
tranzicija,20,sreća,0.1054
